participant;task;stimuli;stem;affix;fs;length;zipf;r;g;b;ld;congruency;correct;type;key;accuracy;rt
1;ld;gialloso;giallo;oso;2;8;4.088.825.104;255;128;0;2;0;2;0;2;2;974
1;ld;bellezza;0;ezza;3;8;4.508.569;0;153;0;0;2;1;1;1;1;893
1;ld;arancioneria;arancione;eria;2;12;3.671.648.609;255;255;0;3;0;2;0;2;2;630
1;ld;bianchiere;bianco;iere;0;10;4.744.381.459;255;128;0;5;0;2;0;2;2;815
1;ld;arancionezione;arancione;zione;1;14;3.671.648.609;0;153;0;5;0;2;0;2;2;662
1;ld;materia;0;eria;3;7;4.023.113;255;255;255;0;2;1;1;1;1;734
1;ld;arancionista;arancione;ista;0;12;3.671.648.609;255;0;255;4;0;2;0;2;2;1478
1;ld;arancioniere;arancione;iere;0;12;3.671.648.609;0;0;255;3;0;2;0;2;2;614
1;ld;scegliere;0;iere;3;9;4.608.976;255;128;0;0;2;1;1;1;1;550
1;ld;biancabile;bianco;abile;0;10;4.744.381.459;255;255;255;5;1;2;0;2;2;629
1;ld;giallabile;giallo;abile;0;10;4.088.825.104;255;255;0;5;1;2;0;2;2;615
1;ld;arancionabile;arancione;abile;0;13;3.671.648.609;255;128;0;4;1;2;0;2;2;606
1;ld;rosiere;rosa;iere;0;7;4.458.329.649;255;128;0;4;0;2;0;2;2;934
1;ld;tempismo;0;ismo;3;8;3.847.979;255;255;0;0;2;1;1;1;1;743
1;ld;bluzione;blu;zione;1;8;464.683.347;255;255;0;5;0;2;0;2;2;654
1;ld;instabile;0;abile;3;9;3.770.707;255;128;0;0;2;1;1;1;1;596
1;ld;gialliere;giallo;iere;0;9;4.088.825.104;255;255;0;4;1;2;0;2;2;637
1;ld;roseria;rosa;eria;0;7;4.458.329.649;255;128;0;3;0;2;0;2;2;548
1;ld;chiacchiere;0;iere;3;11;420.376;255;0;255;0;2;1;1;1;1;1028
1;ld;adorabile;0;abile;3;9;4.286.616;255;255;0;0;2;1;1;1;1;734
1;ld;organismo;0;ismo;3;9;3.612.527;0;153;0;0;2;1;1;1;1;670
1;ld;musicista;0;ista;3;9;3.718.553;0;153;0;0;2;1;1;1;1;508
1;ld;rosatore;rosa;tore;1;8;4.458.329.649;255;255;255;4;0;2;0;2;2;606
1;ld;intervista;0;ista;3;10;4.077.696;255;255;255;0;2;1;1;1;1;628
1;ld;schifoso;0;oso;3;8;4.051.261;255;255;0;0;2;1;1;1;1;557
1;ld;situazione;0;zione;3;10;5.027.247;0;153;0;0;2;1;1;1;1;558
1;ld;emergenza;0;enza;3;9;4.604.809;255;255;0;0;2;1;1;1;1;685
1;ld;giallismo;giallo;ismo;0;9;4.088.825.104;0;0;255;3;0;2;0;2;2;663
1;ld;arancionemento;arancione;mento;1;14;3.671.648.609;255;0;255;5;0;2;0;2;2;638
1;ld;elemento;0;mento;3;8;3.877.559;0;0;255;0;2;1;1;1;1;813
1;ld;giallenza;giallo;enza;0;9;4.088.825.104;0;153;0;4;0;2;0;2;2;989
1;ld;verdezza;verde;ezza;2;8;4.586.948.127;255;255;0;3;0;2;0;2;2;943
1;ld;rosista;rosa;ista;0;7;4.458.329.649;255;0;255;3;1;2;0;2;2;1078
1;ld;romanticismo;0;ismo;3;12;3.414.938;255;255;0;0;2;1;1;1;1;606
1;ld;infermiere;0;iere;3;10;4.035.711;255;255;0;0;2;1;1;1;1;622
1;ld;direttore;0;tore;3;9;4.726.724;0;0;255;0;2;1;1;1;1;662
1;ld;blutore;blu;tore;1;7;464.683.347;0;0;255;4;1;2;0;2;2;717
1;ld;imperatore;0;tore;3;10;4.058.391;0;0;255;0;2;1;1;1;1;669
1;ld;verdabile;verde;abile;0;9;4.586.948.127;255;255;0;4;0;2;0;2;2;685
1;ld;verdemento;verde;mento;1;10;4.586.948.127;255;128;0;5;0;2;0;2;2;581
1;ld;arancionista;arancione;ista;0;12;3.671.648.609;255;128;0;4;1;2;0;2;2;557
1;ld;bianchenza;bianco;enza;0;10;4.744.381.459;255;128;0;5;0;2;0;2;2;1750
1;ld;colazione;0;zione;3;9;4.628.119;255;255;255;0;2;1;1;1;1;679
1;ld;blumento;blu;mento;1;8;464.683.347;0;0;255;5;1;2;0;2;2;644
1;ld;prezioso;0;oso;3;8;4.024.389;255;255;0;0;2;1;1;1;1;591
1;ld;rosezza;rosa;ezza;0;7;4.458.329.649;0;153;0;3;0;2;0;2;2;638
1;ld;umorismo;0;ismo;3;8;3.959.561;255;255;0;0;2;1;1;1;1;542
1;ld;arancionenza;arancione;enza;2;12;3.671.648.609;255;0;255;3;0;2;0;2;2;502
1;ld;bluabile;blu;abile;1;8;464.683.347;0;0;255;5;1;2;0;2;2;838
1;ld;altezza;0;ezza;3;7;4.458.447;255;255;0;0;2;1;1;1;1;606
1;ld;bluabile;blu;abile;1;8;464.683.347;255;0;255;5;0;2;0;2;2;925
1;ld;rosismo;rosa;ismo;0;7;4.458.329.649;255;255;255;4;0;2;0;2;2;773
1;ld;operazione;0;zione;3;10;4.682.565;255;0;255;0;2;1;1;1;1;1094
1;ld;tradimento;0;mento;3;10;4.077.132;255;255;255;0;2;1;1;1;1;501
1;ld;bluenza;blu;enza;1;7;464.683.347;255;255;0;4;0;2;0;2;2;629
1;ld;verdismo;verde;ismo;0;8;4.586.948.127;255;255;0;4;0;2;0;2;2;518
1;ld;rososo;rosa;oso;0;6;4.458.329.649;0;0;255;3;0;2;0;2;2;517
1;ld;rosismo;rosa;ismo;0;7;4.458.329.649;255;0;255;4;1;2;0;2;2;618
1;ld;biancoso;bianco;oso;2;8;4.744.381.459;255;0;255;2;0;2;0;2;2;1125
1;ld;biancotore;bianco;tore;1;10;4.744.381.459;255;128;0;4;0;2;0;2;2;518
1;ld;bianchiere;bianco;iere;0;10;4.744.381.459;255;255;255;5;1;2;0;2;2;487
1;ld;pazienza;0;enza;3;8;435.019;0;153;0;0;2;1;1;1;1;564
1;ld;nervoso;0;oso;3;7;4.431.597;0;153;0;0;2;1;1;1;1;542
1;ld;senatore;0;tore;3;8;4.291.294;255;255;255;0;2;1;1;1;1;574
1;ld;verdoso;verde;oso;0;7;4.586.948.127;0;0;255;3;0;2;0;2;2;614
1;ld;bluismo;blu;ismo;1;7;464.683.347;0;0;255;4;1;2;0;2;2;526
1;ld;rosazione;rosa;zione;1;9;4.458.329.649;0;153;0;5;0;2;0;2;2;549
1;ld;verdezione;verde;zione;1;10;4.586.948.127;255;255;0;5;0;2;0;2;2;470
1;ld;bluista;blu;ista;1;7;464.683.347;0;0;255;4;1;2;0;2;2;478
1;ld;verdista;verde;ista;0;8;4.586.948.127;0;153;0;4;1;2;0;2;2;414
1;ld;affidabile;0;abile;3;10;3.781.431;255;128;0;0;2;1;1;1;1;598
1;ld;verdiere;verde;iere;0;8;4.586.948.127;255;0;255;3;0;2;0;2;2;541
1;ld;riposo;0;oso;3;6;4.324.781;255;255;0;0;2;1;1;1;1;478
1;ld;cacciatore;0;tore;3;10;4.056.323;0;0;255;0;2;1;1;1;1;485
1;ld;bianchismo;bianco;ismo;0;10;4.744.381.459;255;255;255;4;1;2;0;2;2;534
1;ld;verdezione;verde;zione;1;10;4.586.948.127;0;153;0;5;1;2;0;2;2;501
1;ld;bluzione;blu;zione;1;8;464.683.347;0;0;255;5;1;2;0;2;2;558
1;ld;giallomento;giallo;mento;1;11;4.088.825.104;0;0;255;5;0;2;0;2;2;606
1;ld;arancionoso;arancione;oso;0;11;3.671.648.609;255;128;0;3;1;2;0;2;2;397
1;ld;artista;0;ista;3;7;4.298.981;255;255;0;0;2;1;1;1;1;493
1;ld;probabile;0;abile;3;9;4.285.569;0;0;255;0;2;1;1;1;1;525
1;ld;biancomento;bianco;mento;1;11;4.744.381.459;255;0;255;5;0;2;0;2;2;486
1;ld;arancionetore;arancione;tore;1;13;3.671.648.609;255;255;255;4;0;2;0;2;2;565
1;ld;giallismo;giallo;ismo;0;9;4.088.825.104;255;255;0;3;1;2;0;2;2;614
1;ld;giallista;giallo;ista;0;9;4.088.825.104;255;255;0;4;1;2;0;2;2;909
1;ld;verdezza;verde;ezza;2;8;4.586.948.127;0;153;0;3;1;2;0;2;2;502
1;ld;colpevolezza;0;ezza;3;12;3.502.677;255;255;255;0;2;1;1;1;1;661
1;ld;verdoso;verde;oso;0;7;4.586.948.127;0;153;0;3;1;2;0;2;2;516
1;ld;eufemismo;0;ismo;3;9;3.344.738;255;128;0;0;2;1;1;1;1;478
1;ld;rosista;rosa;ista;0;7;4.458.329.649;255;255;255;3;0;2;0;2;2;519
1;ld;giallabile;giallo;abile;0;10;4.088.825.104;0;153;0;5;0;2;0;2;2;636
1;ld;differenza;0;enza;3;10;4.705.272;255;128;0;0;2;1;1;1;1;487
1;ld;arancionabile;arancione;abile;0;13;3.671.648.609;0;153;0;4;0;2;0;2;2;596
1;ld;intelligenza;0;enza;3;12;4.017.322;255;255;0;0;2;1;1;1;1;580
1;ld;gialleria;giallo;eria;0;9;4.088.825.104;255;255;255;4;0;2;0;2;2;581
1;ld;potenza;0;enza;3;7;4.214.793;255;0;255;0;2;1;1;1;1;653
1;ld;bluista;blu;ista;1;7;464.683.347;255;0;255;4;0;2;0;2;2;605
1;ld;arancioniere;arancione;iere;0;12;3.671.648.609;255;128;0;3;1;2;0;2;2;550
1;ld;giornalista;0;ista;3;11;4.241.496;255;0;255;0;2;1;1;1;1;693
1;ld;bluoso;blu;oso;1;6;464.683.347;0;0;255;3;1;2;0;2;2;541
1;ld;verdenza;verde;enza;2;8;4.586.948.127;0;153;0;3;1;2;0;2;2;477
1;ld;bluezza;blu;ezza;1;7;464.683.347;0;0;255;4;1;2;0;2;2;397
1;ld;movimento;0;mento;3;9;4.407.221;0;153;0;0;2;1;1;1;1;533
1;ld;bianchismo;bianco;ismo;0;10;4.744.381.459;0;0;255;4;0;2;0;2;2;509
1;ld;giallotore;giallo;tore;1;10;4.088.825.104;255;255;0;4;1;2;0;2;2;549
1;ld;biancomento;bianco;mento;1;11;4.744.381.459;255;255;255;5;1;2;0;2;2;477
1;ld;giallomento;giallo;mento;1;11;4.088.825.104;255;255;0;5;1;2;0;2;2;493
1;ld;giallista;giallo;ista;0;9;4.088.825.104;255;0;255;4;0;2;0;2;2;519
1;ld;arancionenza;arancione;enza;2;12;3.671.648.609;255;128;0;3;1;2;0;2;2;604
1;ld;lotteria;0;eria;3;8;3.801.051;255;255;0;0;2;1;1;1;1;605
1;ld;arancionismo;arancione;ismo;0;12;3.671.648.609;0;153;0;4;0;2;0;2;2;533
1;ld;esperimento;0;mento;3;11;4.124.157;0;0;255;0;2;1;1;1;1;510
1;ld;blueria;blu;eria;1;7;464.683.347;255;255;0;4;0;2;0;2;2;469
1;ld;segreteria;0;eria;3;10;4.070.592;255;128;0;0;2;1;1;1;1;503
1;ld;gialleria;giallo;eria;0;9;4.088.825.104;255;255;0;4;1;2;0;2;2;533
1;ld;mestiere;0;iere;3;8;4.111.307;255;255;255;0;2;1;1;1;1;573
1;ld;famoso;0;oso;3;6;4.374.478;255;255;0;0;2;1;1;1;1;750
1;ld;rosazione;rosa;zione;1;9;4.458.329.649;255;0;255;5;1;2;0;2;2;534
1;ld;dottore;0;tore;3;7;5.216.434;255;255;0;0;2;1;1;1;1;557
1;ld;giallozione;giallo;zione;1;11;4.088.825.104;255;128;0;5;0;2;0;2;2;557
1;ld;arancionetore;arancione;tore;1;13;3.671.648.609;255;128;0;4;1;2;0;2;2;541
1;ld;bluiere;blu;iere;1;7;464.683.347;0;0;255;4;1;2;0;2;2;668
1;ld;biancotore;bianco;tore;1;10;4.744.381.459;255;255;255;4;1;2;0;2;2;558
1;ld;arancionoso;arancione;oso;0;11;3.671.648.609;255;255;255;3;0;2;0;2;2;501
1;ld;improbabile;0;abile;3;11;3.853.209;255;255;0;0;2;1;1;1;1;573
1;ld;verdiere;verde;iere;0;8;4.586.948.127;0;153;0;3;1;2;0;2;2;662
1;ld;biancoso;bianco;oso;2;8;4.744.381.459;255;255;255;2;1;2;0;2;2;565
1;ld;bluiere;blu;iere;1;7;464.683.347;255;0;255;4;0;2;0;2;2;452
1;ld;roseria;rosa;eria;0;7;4.458.329.649;255;0;255;3;1;2;0;2;2;716
1;ld;riconoscimento;0;mento;3;14;3.827.411;255;255;0;0;2;1;1;1;1;645
1;ld;investigatore;0;tore;3;13;399.267;255;128;0;0;2;1;1;1;1;636
1;ld;cambiamento;0;mento;3;11;4.248.779;0;153;0;0;2;1;1;1;1;821
1;ld;arancionezione;arancione;zione;1;14;3.671.648.609;255;128;0;5;1;2;0;2;2;565
1;ld;arancionezza;arancione;ezza;2;12;3.671.648.609;255;255;0;3;0;2;0;2;2;772
1;ld;arancionismo;arancione;ismo;0;12;3.671.648.609;255;128;0;4;1;2;0;2;2;565
1;ld;rosamento;rosa;mento;1;9;4.458.329.649;0;0;255;5;0;2;0;2;2;661
1;ld;blutore;blu;tore;1;7;464.683.347;255;128;0;4;0;2;0;2;2;885
1;ld;togliere;0;iere;3;8;4.328.594;0;153;0;0;2;1;1;1;1;677
1;ld;scienza;0;enza;3;7;4.291.638;0;0;255;0;2;1;1;1;1;557
1;ld;arancionemento;arancione;mento;1;14;3.671.648.609;255;128;0;5;1;2;0;2;2;566
1;ld;responsabile;0;abile;3;12;4.671.002;255;255;0;0;2;1;1;1;1;661
1;ld;verdemento;verde;mento;1;10;4.586.948.127;0;153;0;5;1;2;0;2;2;500
1;ld;verdenza;verde;enza;2;8;4.586.948.127;255;128;0;3;0;2;0;2;2;525
1;ld;blueria;blu;eria;1;7;464.683.347;0;0;255;4;1;2;0;2;2;462
1;ld;attenzione;0;zione;3;10;5.068.006;0;0;255;0;2;1;1;1;1;604
1;ld;miseria;0;eria;3;7;4.172.289;255;128;0;0;2;1;1;1;1;710
1;ld;bianchenza;bianco;enza;0;10;4.744.381.459;255;255;255;5;1;2;0;2;2;630
1;ld;verdabile;verde;abile;0;9;4.586.948.127;0;153;0;4;1;2;0;2;2;574
1;ld;dentista;0;ista;3;8;3.943.356;255;255;0;0;2;1;1;1;1;516
1;ld;blumento;blu;mento;1;8;464.683.347;255;255;255;5;0;2;0;2;2;742
1;ld;rosabile;rosa;abile;2;8;4.458.329.649;255;0;255;4;1;2;0;2;2;677
1;ld;biancabile;bianco;abile;0;10;4.744.381.459;255;0;255;5;0;2;0;2;2;446
2;ld;roseria;rosa;eria;0;7;4.458.329.649;255;128;0;3;0;2;0;1;2;1352
2;ld;rosatore;rosa;tore;1;8;4.458.329.649;255;255;255;4;0;2;0;2;2;974
2;ld;arancioneria;arancione;eria;2;12;3.671.648.609;255;255;0;3;0;2;0;1;2;941
2;ld;arancionoso;arancione;oso;0;11;3.671.648.609;255;128;0;3;1;2;0;2;2;969
2;ld;altezza;0;ezza;3;7;4.458.447;255;255;0;0;2;1;1;1;1;569
2;ld;togliere;0;iere;3;8;4.328.594;0;153;0;0;2;1;1;1;1;1152
2;ld;verdezza;verde;ezza;2;8;4.586.948.127;255;255;0;3;0;2;0;2;2;771
2;ld;bluiere;blu;iere;1;7;464.683.347;0;0;255;4;1;2;0;2;2;801
2;ld;infermiere;0;iere;3;10;4.035.711;255;255;0;0;2;1;1;1;1;699
2;ld;blutore;blu;tore;1;7;464.683.347;255;128;0;4;0;2;0;2;2;743
2;ld;biancomento;bianco;mento;1;11;4.744.381.459;255;0;255;5;0;2;0;2;2;1292
2;ld;rosiere;rosa;iere;0;7;4.458.329.649;255;0;255;4;1;2;0;1;2;1074
2;ld;imperatore;0;tore;3;10;4.058.391;0;0;255;0;2;1;1;1;1;663
2;ld;arancionabile;arancione;abile;0;13;3.671.648.609;255;128;0;4;1;2;0;2;2;963
2;ld;biancoso;bianco;oso;2;8;4.744.381.459;255;0;255;2;0;2;0;2;2;1232
2;ld;bianchenza;bianco;enza;0;10;4.744.381.459;255;128;0;5;0;2;0;1;2;802
2;ld;giallismo;giallo;ismo;0;9;4.088.825.104;0;0;255;3;0;2;0;1;2;1156
2;ld;verdabile;verde;abile;0;9;4.586.948.127;0;153;0;4;1;2;0;2;2;902
2;ld;rosismo;rosa;ismo;0;7;4.458.329.649;255;255;255;4;0;2;0;2;2;949
2;ld;verdetore;verde;tore;1;9;4.586.948.127;255;255;255;4;0;2;0;2;2;1073
2;ld;arancionezza;arancione;ezza;2;12;3.671.648.609;255;255;0;3;0;2;0;2;2;880
2;ld;tradimento;0;mento;3;10;4.077.132;255;255;255;0;2;1;1;1;1;655
2;ld;operazione;0;zione;3;10;4.682.565;255;0;255;0;2;1;1;1;1;805
2;ld;blumento;blu;mento;1;8;464.683.347;255;255;255;5;0;2;0;2;2;792
2;ld;bluzione;blu;zione;1;8;464.683.347;255;255;0;5;0;2;0;2;2;704
2;ld;intervista;0;ista;3;10;4.077.696;255;255;255;0;2;1;1;1;1;744
2;ld;arancionismo;arancione;ismo;0;12;3.671.648.609;0;153;0;4;0;2;0;2;2;1506
2;ld;schifoso;0;oso;3;8;4.051.261;255;255;0;0;2;1;1;1;1;609
2;ld;rosismo;rosa;ismo;0;7;4.458.329.649;255;0;255;4;1;2;0;1;2;1417
2;ld;famoso;0;oso;3;6;4.374.478;255;255;0;0;2;1;1;1;1;656
2;ld;bluezza;blu;ezza;1;7;464.683.347;0;0;255;4;1;2;0;2;2;612
2;ld;rosista;rosa;ista;0;7;4.458.329.649;255;0;255;3;1;2;0;2;2;1259
2;ld;bluista;blu;ista;1;7;464.683.347;0;0;255;4;1;2;0;2;2;644
2;ld;preoccupazione;0;zione;3;14;390.901;255;0;255;0;2;1;1;1;1;831
2;ld;senatore;0;tore;3;8;4.291.294;255;255;255;0;2;1;1;1;1;654
2;ld;giallotore;giallo;tore;1;10;4.088.825.104;255;255;0;4;1;2;0;2;2;1097
2;ld;organismo;0;ismo;3;9;3.612.527;0;153;0;0;2;1;1;1;1;682
2;ld;cambiamento;0;mento;3;11;4.248.779;0;153;0;0;2;1;1;1;1;675
2;ld;pericoloso;0;oso;3;10;4.697.022;255;255;0;0;2;1;1;1;1;606
2;ld;verdemento;verde;mento;1;10;4.586.948.127;0;153;0;5;1;2;0;2;2;868
2;ld;roseria;rosa;eria;0;7;4.458.329.649;255;0;255;3;1;2;0;1;2;834
2;ld;blueria;blu;eria;1;7;464.683.347;255;255;0;4;0;2;0;2;2;718
2;ld;investigatore;0;tore;3;13;399.267;255;128;0;0;2;1;1;1;1;576
2;ld;giallenza;giallo;enza;0;9;4.088.825.104;255;255;0;4;1;2;0;2;2;1045
2;ld;rosatore;rosa;tore;1;8;4.458.329.649;255;0;255;4;1;2;0;2;2;979
2;ld;scienza;0;enza;3;7;4.291.638;0;0;255;0;2;1;1;1;1;645
2;ld;bluoso;blu;oso;1;6;464.683.347;255;0;255;3;0;2;0;2;2;622
2;ld;bluenza;blu;enza;1;7;464.683.347;255;255;0;4;0;2;0;2;2;709
2;ld;biancozione;bianco;zione;1;11;4.744.381.459;0;153;0;5;0;2;0;2;2;945
2;ld;chiacchiere;0;iere;3;11;420.376;255;0;255;0;2;1;1;1;1;735
2;ld;bellezza;0;ezza;3;8;4.508.569;0;153;0;0;2;1;1;1;1;586
2;ld;giallomento;giallo;mento;1;11;4.088.825.104;0;0;255;5;0;2;0;2;2;943
2;ld;rosamento;rosa;mento;1;9;4.458.329.649;0;0;255;5;0;2;0;2;2;800
2;ld;bluoso;blu;oso;1;6;464.683.347;0;0;255;3;1;2;0;2;2;539
2;ld;rosenza;rosa;enza;0;7;4.458.329.649;255;255;0;3;0;2;0;2;2;657
2;ld;giallomento;giallo;mento;1;11;4.088.825.104;255;255;0;5;1;2;0;2;2;647
2;ld;arancionezione;arancione;zione;1;14;3.671.648.609;255;128;0;5;1;2;0;2;2;752
2;ld;materia;0;eria;3;7;4.023.113;255;255;255;0;2;1;1;1;1;615
2;ld;bianchista;bianco;ista;0;10;4.744.381.459;255;255;255;5;1;2;0;2;2;933
2;ld;verdenza;verde;enza;2;8;4.586.948.127;0;153;0;3;1;2;0;2;2;836
2;ld;verdiere;verde;iere;0;8;4.586.948.127;255;0;255;3;0;2;0;2;2;687
2;ld;arancionezione;arancione;zione;1;14;3.671.648.609;0;153;0;5;0;2;0;2;2;873
2;ld;differenza;0;enza;3;10;4.705.272;255;128;0;0;2;1;1;1;1;601
2;ld;bianchenza;bianco;enza;0;10;4.744.381.459;255;255;255;5;1;2;0;2;2;861
2;ld;arancionezza;arancione;ezza;2;12;3.671.648.609;255;128;0;3;1;2;0;1;2;1204
2;ld;verdiere;verde;iere;0;8;4.586.948.127;0;153;0;3;1;2;0;2;2;913
2;ld;verdabile;verde;abile;0;9;4.586.948.127;255;255;0;4;0;2;0;2;2;767
2;ld;potenza;0;enza;3;7;4.214.793;255;0;255;0;2;1;1;1;1;674
2;ld;bluiere;blu;iere;1;7;464.683.347;255;0;255;4;0;2;0;2;2;549
2;ld;emergenza;0;enza;3;9;4.604.809;255;255;0;0;2;1;1;1;1;571
2;ld;rosista;rosa;ista;0;7;4.458.329.649;255;255;255;3;0;2;0;2;2;832
2;ld;attenzione;0;zione;3;10;5.068.006;0;0;255;0;2;1;1;1;1;696
2;ld;riconoscimento;0;mento;3;14;3.827.411;255;255;0;0;2;1;1;1;1;1298
2;ld;arancionetore;arancione;tore;1;13;3.671.648.609;255;255;255;4;0;2;0;2;2;1063
2;ld;terrorismo;0;ismo;3;10;3.733.749;255;128;0;0;2;1;1;1;1;682
2;ld;giallabile;giallo;abile;0;10;4.088.825.104;0;153;0;5;0;2;0;2;2;700
2;ld;gialleria;giallo;eria;0;9;4.088.825.104;255;255;255;4;0;2;0;2;2;1537
2;ld;cacciatore;0;tore;3;10;4.056.323;0;0;255;0;2;1;1;1;1;560
2;ld;arancionabile;arancione;abile;0;13;3.671.648.609;0;153;0;4;0;2;0;2;2;1200
2;ld;bianchismo;bianco;ismo;0;10;4.744.381.459;0;0;255;4;0;2;0;2;2;774
2;ld;dottore;0;tore;3;7;5.216.434;255;255;0;0;2;1;1;1;1;645
2;ld;giallista;giallo;ista;0;9;4.088.825.104;255;0;255;4;0;2;0;2;2;714
2;ld;arancionetore;arancione;tore;1;13;3.671.648.609;255;128;0;4;1;2;0;2;2;804
2;ld;verdenza;verde;enza;2;8;4.586.948.127;255;128;0;3;0;2;0;2;2;594
2;ld;arancionista;arancione;ista;0;12;3.671.648.609;255;128;0;4;1;2;0;2;2;578
2;ld;arancioniere;arancione;iere;0;12;3.671.648.609;255;128;0;3;1;2;0;2;2;620
2;ld;verdismo;verde;ismo;0;8;4.586.948.127;0;153;0;4;1;2;0;2;2;598
2;ld;esperimento;0;mento;3;11;4.124.157;0;0;255;0;2;1;1;1;1;671
2;ld;arancionista;arancione;ista;0;12;3.671.648.609;255;0;255;4;0;2;0;2;2;628
2;ld;rosenza;rosa;enza;0;7;4.458.329.649;255;0;255;3;1;2;0;2;2;602
2;ld;bluezza;blu;ezza;1;7;464.683.347;255;0;255;4;0;2;0;2;2;519
2;ld;biancomento;bianco;mento;1;11;4.744.381.459;255;255;255;5;1;2;0;2;2;762
2;ld;verdezza;verde;ezza;2;8;4.586.948.127;0;153;0;3;1;2;0;2;2;613
2;ld;prezioso;0;oso;3;8;4.024.389;255;255;0;0;2;1;1;1;1;617
2;ld;bluismo;blu;ismo;1;7;464.683.347;0;153;0;4;0;2;0;2;2;571
2;ld;verderia;verde;eria;2;8;4.586.948.127;0;153;0;3;1;2;0;2;2;749
2;ld;verderia;verde;eria;2;8;4.586.948.127;255;0;255;3;0;2;0;2;2;524
2;ld;stazione;0;zione;3;8;4.603.552;255;255;0;0;2;1;1;1;1;611
2;ld;batteria;0;eria;3;8;4.046.745;255;255;0;0;2;1;1;1;1;504
2;ld;direttore;0;tore;3;9;4.726.724;0;0;255;0;2;1;1;1;1;607
2;ld;gialloso;giallo;oso;2;8;4.088.825.104;255;128;0;2;0;2;0;2;2;1054
2;ld;probabile;0;abile;3;9;4.285.569;0;0;255;0;2;1;1;1;1;686
2;ld;biancotore;bianco;tore;1;10;4.744.381.459;255;255;255;4;1;2;0;2;2;836
2;ld;tempismo;0;ismo;3;8;3.847.979;255;255;0;0;2;1;1;1;1;568
